Unit,Date,Hour Ending,MWH
WEBBER_S_WSP1,20190101,100,0
WEBBER_S_WSP1,20190101,200,0
WEBBER_S_WSP1,20190101,300,0
WEBBER_S_WSP1,20190101,400,0
WEBBER_S_WSP1,20190101,500,0
WEBBER_S_WSP1,20190101,600,0
WEBBER_S_WSP1,20190101,700,0
WEBBER_S_WSP1,20190101,800,0.307075
WEBBER_S_WSP1,20190101,900,1.5069
WEBBER_S_WSP1,20190101,1000,2.297075
WEBBER_S_WSP1,20190101,1100,4.0715
WEBBER_S_WSP1,20190101,1200,4.677675
WEBBER_S_WSP1,20190101,1300,4.320075
WEBBER_S_WSP1,20190101,1400,3.157225
WEBBER_S_WSP1,20190101,1500,2.75475
WEBBER_S_WSP1,20190101,1600,1.148875
WEBBER_S_WSP1,20190101,1700,0.395275
WEBBER_S_WSP1,20190101,1800,0.0103
WEBBER_S_WSP1,20190101,1900,0
WEBBER_S_WSP1,20190101,2000,0
WEBBER_S_WSP1,20190101,2100,0
WEBBER_S_WSP1,20190101,2200,0
WEBBER_S_WSP1,20190101,2300,0
WEBBER_S_WSP1,20190101,2400,0
WEBBER_S_WSP1,20190102,100,0
WEBBER_S_WSP1,20190102,200,0
WEBBER_S_WSP1,20190102,300,0
WEBBER_S_WSP1,20190102,400,0
WEBBER_S_WSP1,20190102,500,0
WEBBER_S_WSP1,20190102,600,0
WEBBER_S_WSP1,20190102,700,0
WEBBER_S_WSP1,20190102,800,0
WEBBER_S_WSP1,20190102,900,0.09705
WEBBER_S_WSP1,20190102,1000,0.47115
WEBBER_S_WSP1,20190102,1100,0.552175
WEBBER_S_WSP1,20190102,1200,1.4729
WEBBER_S_WSP1,20190102,1300,1.249575
WEBBER_S_WSP1,20190102,1400,0.6991
WEBBER_S_WSP1,20190102,1500,0.437075
WEBBER_S_WSP1,20190102,1600,0.313625
WEBBER_S_WSP1,20190102,1700,0.009325
WEBBER_S_WSP1,20190102,1800,0
WEBBER_S_WSP1,20190102,1900,0
WEBBER_S_WSP1,20190102,2000,0
WEBBER_S_WSP1,20190102,2100,0
WEBBER_S_WSP1,20190102,2200,0
WEBBER_S_WSP1,20190102,2300,0
WEBBER_S_WSP1,20190102,2400,0
WEBBER_S_WSP1,20190103,100,0
WEBBER_S_WSP1,20190103,200,0
WEBBER_S_WSP1,20190103,300,0
WEBBER_S_WSP1,20190103,400,0
WEBBER_S_WSP1,20190103,500,0
WEBBER_S_WSP1,20190103,600,0
WEBBER_S_WSP1,20190103,700,0
WEBBER_S_WSP1,20190103,800,0
WEBBER_S_WSP1,20190103,900,0.38755
WEBBER_S_WSP1,20190103,1000,1.977675
WEBBER_S_WSP1,20190103,1100,3.899225
WEBBER_S_WSP1,20190103,1200,11.065475
WEBBER_S_WSP1,20190103,1300,7.53655
WEBBER_S_WSP1,20190103,1400,7.399975
WEBBER_S_WSP1,20190103,1500,16.238625
WEBBER_S_WSP1,20190103,1600,20.952225
WEBBER_S_WSP1,20190103,1700,13.2822
WEBBER_S_WSP1,20190103,1800,1.221125
WEBBER_S_WSP1,20190103,1900,0
WEBBER_S_WSP1,20190103,2000,0
WEBBER_S_WSP1,20190103,2100,0
WEBBER_S_WSP1,20190103,2200,0
WEBBER_S_WSP1,20190103,2300,0
WEBBER_S_WSP1,20190103,2400,0
WEBBER_S_WSP1,20190104,100,0
WEBBER_S_WSP1,20190104,200,0
WEBBER_S_WSP1,20190104,300,0
WEBBER_S_WSP1,20190104,400,0
WEBBER_S_WSP1,20190104,500,0
WEBBER_S_WSP1,20190104,600,0
WEBBER_S_WSP1,20190104,700,0
